group_i,group_j,n_edges,n_positive,n_negative
Frontal-Parietal,Frontal-Parietal,1,0,1
Frontal-Parietal,Subcortical,3,0,3
Frontal-Parietal,Cingulate-Temporal,2,0,2
Frontal-Parietal,Visual,3,0,3
Frontal-Parietal,Limbic-Olfactory,5,0,5
Frontal-Parietal,Somatosensory-Cerebellum,5,0,5
Subcortical,Subcortical,1,0,1
Subcortical,Cingulate-Temporal,7,0,7
Subcortical,Visual,5,0,5
Subcortical,Limbic-Olfactory,9,0,9
Subcortical,Somatosensory-Cerebellum,7,0,7
Cingulate-Temporal,Cingulate-Temporal,0,0,0
Cingulate-Temporal,Visual,4,0,4
Cingulate-Temporal,Limbic-Olfactory,5,0,5
Cingulate-Temporal,Somatosensory-Cerebellum,9,0,9
Visual,Visual,2,0,2
Visual,Limbic-Olfactory,7,0,7
Visual,Somatosensory-Cerebellum,5,0,5
Limbic-Olfactory,Limbic-Olfactory,6,0,6
Limbic-Olfactory,Somatosensory-Cerebellum,16,0,16
Somatosensory-Cerebellum,Somatosensory-Cerebellum,8,0,8
