roi_name,n_voxels,task_activation_voxels,voxel_selection,voxel_weighting,task_z_threshold,n_weighted_voxels
Cerebellum_L,4195,4195,task-activation,unit_weights,3.1,4195
Occipital_L,3780,3780,task-activation,unit_weights,3.1,3780
Parietal_R,3490,3490,task-activation,unit_weights,3.1,3490
Parietal_L,3409,3409,task-activation,unit_weights,3.1,3409
Occipital_R,3169,3169,task-activation,unit_weights,3.1,3169
Cerebellum_R,2809,2809,task-activation,unit_weights,3.1,2809
Frontal_R,2174,2174,task-activation,unit_weights,3.1,2174
Temporal_R,1811,1811,task-activation,unit_weights,3.1,1811
Postcentral_L,1508,1508,task-activation,unit_weights,3.1,1508
Postcentral_R,1504,1504,task-activation,unit_weights,3.1,1504
Temporal_L,1501,1501,task-activation,unit_weights,3.1,1501
Cingulate_R,1313,1313,task-activation,unit_weights,3.1,1313
Cingulate_L,1161,1161,task-activation,unit_weights,3.1,1161
Fusiform_R,1036,1036,task-activation,unit_weights,3.1,1036
Insula_R,823,823,task-activation,unit_weights,3.1,823
Fusiform_L,763,763,task-activation,unit_weights,3.1,763
Insula_L,752,752,task-activation,unit_weights,3.1,752
Precentral_R,691,691,task-activation,unit_weights,3.1,691
Putamen_L,580,580,task-activation,unit_weights,3.1,580
Thalamus_L,411,411,task-activation,unit_weights,3.1,411
Precentral_L,391,391,task-activation,unit_weights,3.1,391
Putamen_R,356,356,task-activation,unit_weights,3.1,356
Rolandic_Oper_R,349,349,task-activation,unit_weights,3.1,349
Rolandic_Oper_L,302,302,task-activation,unit_weights,3.1,302
Frontal_L,286,286,task-activation,unit_weights,3.1,286
Paracentral_Lobule_R,216,216,task-activation,unit_weights,3.1,216
Thalamus_R,196,196,task-activation,unit_weights,3.1,196
Paracentral_Lobule_L,173,173,task-activation,unit_weights,3.1,173
Pallidum_L,103,103,task-activation,unit_weights,3.1,103
Supp_Motor_Area_R,94,94,task-activation,unit_weights,3.1,94
Hippocampus_R,72,72,task-activation,unit_weights,3.1,72
Pallidum_R,51,51,task-activation,unit_weights,3.1,51
Hippocampus_L,45,45,task-activation,unit_weights,3.1,45
ParaHippocampal_R,41,41,task-activation,unit_weights,3.1,41
Orbitofrontal_R,33,33,task-activation,unit_weights,3.1,33
